keys,en,ru,zhcn
TR_NEW,New,Новый,新建
TR_NEW_FILE,New File,Новый файл,新建文件
TR_NEW_PNGTUBER_TEXT,Do you want to make a new PNGTuber model?,Создать новую PNGTuber‑модель?,要创建新的 PNGTuber 模型吗？
TR_NO,No,Нет,否
TR_NOISE,Noise,Шум,噪点
TR_NOISE_SCALE,Noise Scale,Масштаб шума,噪点缩放
TR_NOISE_SPEED,Noise Speed,Скорость шума,噪点速度
TR_NONE,None,Нет,无
TR_NONE_ANIMATED_SHEET,Non-Animated Sheet,Статичный спрайт-лист,非动画精灵表
TR_NONE_ANIMATED_SHEET_TOOLTIP,Turns a sprite sheet into static frames you can choose from,Преобразует спрайт-лист в набор статичных кадров,将精灵表转换为可选择的静态帧
TR_NORMAL_MAP,Normal Map,Карта нормалей,法线贴图
TR_NORMAL_MAP_DEMO,Normal Map Demo,Карты нормалей,法线贴图演示
TR_OFFSETS_IMPORTED_SPRITES_WHEN_TRIM,Offsets imported Sprites when trimming is enabled,Смещения импортированных спрайтов при включенной обрезке,启用裁剪时偏移导入的精灵
TR_OFFSET_IMPORTED_SPRITE,Offset Imported Sprite,Смещение импортированного спрайта,偏移导入的精灵
TR_OFFSET_X,Offset X,Смещение X,偏移 X
TR_OFFSET_Y,Offset Y,Смещение Y,偏移 Y
TR_OPEN,Open,Открыть,打开
TR_OPEN_FILE,Open a File,Открыть файл,打开文件
TR_OPEN_FILES,Open Files,Открыть файлы,打开文件
TR_OPEN_MODEL,Open Model,Открыть модель,打开模型
TR_OPEN_SEE_FACE,OpenSeeFace,OpenSeeFace,OpenSeeFace
TR_OPEN_SETTINGS,Open Settings,Открыть настройки,打开设置
TR_OPTIMIZE,Optimize,Оптимизировать,优化
TR_OPTIMIZE_TRIM,Trim Model,Обрезать модель,裁剪模型
TR_ORANGE,Orange,Оранжевый,橙色
TR_OTHERS,Others,Другое,其他
TR_OUTER_PADDING,Outer Padding,Внешний отступ,外部内边距
TR_OUTLINE,Outline,Обводка,轮廓
TR_PARENT_ID_LABEL,Parent ID,ID родителя,父级 ID
TR_PAUSE_MOVEMENT,Pause Movement,Остановить движение,暂停移动
TR_PAUSE_MOVEMENT_TOOLTIP,Turns your model Static.\nUncheck to preview your model's movement.\nThis automatically gets unchecked when changing modes.,"Делает модель статичной.\nСними галочку, чтобы увидеть движение модели.\nФлаг автоматически сбрасывается при смене режима.","使模型变为静态。\n取消勾选可预览模型的动作。\n切换模式时此选项会自动取消勾选。"
TR_PAUSE_MOVEMENT_TOOLTIP_MOVEMENT_SECTION,Pauses movement if the value of that parameter is zero,"Останавливает движение, если значение параметра равно нулю","如果参数值为零，则暂停移动"
TR_PHONEMES,Phonemes,Фонемы,音素
TR_PHYSICS,Enable Physics,Включить физику,启用物理
TR_PHYSICS_EFFECT_X,Physics Effect X,Физический эффект X,物理效果 X
TR_PHYSICS_EFFECT_Y,Physics Effect Y,Физический эффект Y,物理效果 Y
TR_PHYSICS_STEPS,Physics Steps,Шаги физики,物理步数
TR_PHYSICS_TICK,Physics Tick,Такты физики,物理时钟
TR_PHYS_STIFFNESS_LABEL,Phys-Stiff,Жёсткость физики,物理刚度
TR_PHYS_STIFFNESS_TOOLTIP,Physics/Reaction to parent's movement stiffness,Жёсткость реакции на движение родителя,物理/对父级移动的反应刚度
TR_PLEASE_CONFIRM,Please Confirm…,"Пожалуйста, подтвердите…",请确认…
TR_PORT,Port,Порт,端口
TR_POSITION_SNAP_BUTTON,Position Snap,Привязка позиции,位置吸附
TR_POSITION_SNAP_BUTTON_TOOLTIP,Snaps the position to the last movement position,Привязывает позицию к последней точке движения,将位置吸附到上一次移动位置
TR_POSITION_TRACKING_STRENGTH,Position Tracking Strength,Сила отслеживания позиции,位置追踪强度
TR_POS_X,Position X,Позиция X,位置 X
TR_POS_Y,Position Y,Позиция Y,位置 Y
TR_PREVIEW,Preview,Предпросмотр,预览
TR_PREVIEW_MODE_TOOLTIP,Makes the model static.\nUncheck to preview movement.\nThis is automatically unchecked when changing modes.,"Делает модель статичной.\nСними флажок, чтобы посмотреть движение.\nФлажок автоматически снимается при смене режима.","使模型变为静态。\n取消勾选可预览动作。\n切换模式时此选项会自动取消勾选。"
TR_PROJECT_SAVED,Project Saved,Проект сохранён,项目已保存
TR_PROPERTIES_HIDDEN_ITEM,"If enabled, the current object is hidden outside the editor","Если включено, текущий объект скрывается вне редактора","启用后，当前对象在编辑器外部将被隐藏"
TR_PROTANOPIA,Protanopia,Протанопия,红色盲
TR_PSD_IMPORT,Import PSD,Импортировать PSD,导入 PSD
TR_PURPLE,Purple,Фиолетовый,紫色
TR_QUIT,Quit,Выйти,退出
TR_RADIAL_SPACING,Radial Spacing,Радиальное расстояние,径向间距
TR_RAINBOW,Rainbow,Радуга,彩虹
TR_RAINBOW_EFFECT,Rainbow Effect,Радужный эффект,彩虹效果
TR_RANGE_X_MAX,Range X Max,Диапазон X Макс,X 范围最大值
TR_RANGE_X_MIN,Range X Min,Диапазон X Мин,X 范围最小值
TR_RANGE_Y_MAX,Range Y Max,Диапазон Y Макс,Y 范围最大值
TR_RANGE_Y_MIN,Range Y Min,Диапазон Y Мин,Y 范围最小值
TR_REACTION,Reaction,Реакция,反应
TR_RECOLOR_LAYER,Recolor Layer,Перекрасить слой,重新着色图层
TR_RED,Red,Красный,红色
TR_REMAP,Remap,Переназначить,重映射
TR_REMAP_KEY,Remap Key,Переназначить клавишу,重映射按键
TR_REMAP_STATE_HOTKEYS,Remap State Hot Keys,Переназначить горячие клавиши состояний,重映射状态热键
TR_REMOVE_CUSTOM_COURSOR,Remove Custom Cursor,Убрать свой курсор,移除自定义光标
TR_REMOVE_CUSTOM_COURSOR_TOOLTIP,Remove the custom cursor image and use the default cursor,Удалить изображение курсора и использовать курсор по умолчанию,移除自定义光标图像并使用默认光标
TR_RESET_ANIMATION,Reset Animation,Сбросить анимацию,重置动画
TR_RESET_ANIMATION_TOOLTIP,Resets animation on changing the current State.,Сбрасывает анимацию при смене текущего состояния.,切换当前状态时重置动画。
TR_RESET_DEFORM_POINT,Reset Deform Point,Сброс точки деформации,重置变形点
TR_RESET_ON_STATE_CHANGE,Reset on State Change,Сбрасывать при смене состояния,状态切换时重置
TR_RESET_ON_STATE_CHANGE_TOOLTIP,"Resets the animation of APNG, GIF, or sprite sheet when changing states","Сбрасывает анимацию APNG, GIF или спрайт-листа при смене состояния","切换状态时重置 APNG、GIF 或精灵表的动画"
TR_RESIZE,Resize,Изменить размер,调整大小
TR_RESTORE_BRUSH,Restore Brush,Восстанавливающая кисть,恢复画笔
TR_REST_BOTH,Rest Both,Покой обоих,两者都静止
TR_REST_FOLLOW,Rest Follow Movement,Режим покоя для слежения,静止跟随移动
TR_REST_MODE,Rest Mode,Режим покоя,静止模式
TR_REST_MODE_TOOLTIP,"Rests or disables movement types. Rest means the feature stops when invisible, while disable turns it off completely.\nThis can improve performance, especially for heavier models that do not use a specific movement type.","Приостанавливает или отключает типы движения. Покой останавливает функцию, когда объект невидим, а отключение выключает её полностью.\nЭто помогает производительности, особенно у тяжёлых моделей, которым не нужен конкретный тип движения.","静止或禁用移动类型。静止意味着功能在不可见时停止，而禁用则完全关闭。\n这可以提升性能，尤其对于不使用特定移动类型的较重型模型。"
TR_REST_MOVE,Rest Movement,Режим покоя для движения,静止移动
TR_RIGHT_EYE,Right eye,Правый глаз,右眼
TR_RING_GRID,Ring Grid,Кольцевая сетка,环形网格
TR_ROLL_SIZE,Roll Size,Размер вращения,旋转大小
TR_ROLL_SPEED,Roll Speed,Скорость вращения,旋转速度
TR_ROTATE_SPRITE_IMAGE_TOOLTIP,Rotate the sprite image by 90°.\nNote: this resets appendage dimensions.,Повернуть изображение спрайта на 90°.\nПримечание: это сбрасывает размеры придатка.,将精灵图像旋转 90°。\n注意：这会重置附加部位的尺寸。
TR_ROTATION,Rotation,Поворот,旋转
TR_ROTATION_CCW_BRUSH,Rotation CCW Brush,Вращение кисти против часовой стрелки,逆时针旋转画笔
TR_ROTATION_CW_BRUSH,Rotation CW Brush,Вращение кисти по часовой стрелке,顺时针旋转画笔
TR_ROT_DEGREE,Rot-Degree,Градус поворота,旋转角度
TR_ROT_FREQUENCY,Rot-Freq,Частота поворота,旋转频率
TR_ROT_MAX_ROT,Max-Rot,Макс поворот,最大旋转
TR_ROT_MIN_ROT,Min-Rot,Мин поворот,最小旋转
TR_ROT_SNAP_BUTTON_TOOLTIP,Snaps the rotation to the last movement position,Привязывает вращение к последней точке движения,将旋转吸附到上一次移动位置
TR_ROT_SPEED,Rot-Speed,Скорость поворота,旋转速度
TR_ROT_THRESH,Rot-Threshold,Порог вращения,旋转阈值
TR_SAVE,Save,Сохранить,保存
TR_SAVE_AS,Save As…,Сохранить как…,另存为…
TR_SAVE_LIPSYNC_FILE,Save Lip Sync File,Сохранить файл синхронизации губ,保存唇形同步文件
TR_SAVE_ON_EXIT,Save on Exit,Сохранять при выходе,退出时保存
TR_SAVE_ON_EXIT_NOTE,(Helps remember toggled assets),(Помогает запомнить включённые ресурсы),（有助于记住已切换的资源）
TR_SAVE_RELOAD,Quick Save and Reload,Сохранить и перезагрузиться,快速保存并重新加载
TR_SAVE_SETTINGS,Save Settings,Сохранить настройки,保存设置
TR_SAVE_UNUSED_FILES,Save Unused Files,Сохранить неиспользуемые файлы,保存未使用的文件
TR_SAVE_WARNING,Did you make sure to save?,Ты точно сохранил(а) изменения?,你确认已保存了吗？
TR_SAVE_WARNING_FULL,"If you clicked quit without making sure your work is saved, you will lose your progress.","Если нажать «Выйти», не убедившись, что работа сохранена, прогресс будет утерян.","如果在未确认工作已保存的情况下点击退出，你将丢失进度。"
TR_SAVE_WINDOW_POSITIONS,"Save Window State (position, size, etc.)","Сохранять состояние окна (позицию, размер и т.п.)","保存窗口状态（位置、大小等）"
TR_SCALE_POS_X,Invert Scale X,Инвертировать масштаб X,反转缩放 X
TR_SCALE_POS_Y,Invert Scale Y,Инвертировать масштаб Y,反转缩放 Y
TR_SCALE_X_MAX,Scale X Max,Масштаб X Макс,X 缩放最大值
TR_SCALE_X_MIN,Scale X Min,Масштаб X Мин,X 缩放最小值
TR_SCALE_Y_MAX,Scale Y Max,Масштаб Y Макс,Y 缩放最大值
TR_SCALE_Y_MIN,Scale Y Min,Масштаб Y Мин,Y 缩放最小值
TR_SCL_SNAP_BUTTON_TOOLTIP,Snaps the scale to the last movement position,Привязывает масштаб к последней точке движения,将缩放吸附到上一次移动位置
TR_SCREAMING,Screaming (Coming Soon),Крик (скоро),尖叫（即将推出）
TR_SCREEN_CRT,Screen CRT,Эффект CRT,CRT 屏幕效果
TR_SEGMENTS_LABEL,Segments,Сегменты,分段
TR_SELECT_CUSTOM_COURSOR,Select Custom Cursor,Выбрать свой курсор,选择自定义光标
TR_SELECT_CUSTOM_COURSOR_TOOLTIP,Select a custom image for the cursor.\nThe image must be smaller than 256x256.\nImages larger than 128x128 may cause rendering issues.,Выберите собственное изображение для курсора\nРазмер изображения не должен превышать 256x256\nРазмер более 128x128 может вызвать проблемы с отображением → Выберите изображение для курсора.\nРазмер не должен превышать 256x256.\nРазмеры больше 128x128 могут вызвать проблемы с отображением.,选择自定义光标图像。\n图像尺寸必须小于 256x256。\n大于 128x128 的图像可能导致渲染问题。
TR_SETTINGS,Settings,Настройки,设置
TR_SETTINGS_POPUP_IMPORT_TRIM,Automatically crop away any empty space surrounding an image when the image is opened,Автоматически обрезать пустое пространство вокруг изображения при его открытии,打开图像时自动裁剪掉周围的空白区域
TR_SETTINGS_POPUP_OUT_OF_BOUNDS_TOOLTIP,"If a screen is selected and the cursor leaves it, mouse tracking stops","Если выбран экран и курсор выходит за его пределы, отслеживание мыши прекращается","如果选择了屏幕且光标离开该屏幕，鼠标追踪将停止"
TR_SETUP,Setup,Настройка,设置
TR_SHARED_MOVEMENT_BUTTON,Use Different Values When Mouth Is Open,Отдельные значения при открытом рте,张嘴时使用不同数值
TR_SHARED_MOVEMENT_TOOLTIP,Uses different movement values while the mouth is open.,Использует отдельные значения движения при открытом рте.,张嘴时使用不同的移动数值。
TR_SHORTCUTS_FULL,"* Mouse Controls\n- Rotation : Ctrl+MouseWheel (Up, Down)\n- Camera Zoom : MouseWheel (Up, Down)\n- Camera Drag : MouseWheel (Pressed)\n\n*Keyboard Controls \n- Moving Sprite : \n> Ctrl+W (Up)\n> Ctrl+S (Down)\n> Ctrl+A (Left)\n> Ctrl+D (Right)\n\n- Moving Offset : \n> Arrow-Up (Up)\n> Arrow-Down (Down)\n> Arrow-Left (Left)\n> Arrow-Right (Right)\n\n- Quick Save : Ctrl+S\n- Quick Deselect : Alt+D\n- Quick Window Centering : Ctrl+Kp -",* Управление мышью\n- Поворот: Ctrl + колёсико (вверх/вниз)\n- Зум камеры: колёсико (вверх/вниз)\n- Перетаскивание камеры: нажатое колёсико\n\n* Клавиатура\n- Перемещение спрайта:\n> Ctrl+W (вверх)\n> Ctrl+S (вниз)\n> Ctrl+A (влево)\n> Ctrl+D (вправо)\n\n- Смещение:\n> Стрелка вверх\n> Стрелка вниз\n> Стрелка влево\n> Стрелка вправо\n\n- Быстрое сохранение: Ctrl+S\n- Быстро снять выделение: Alt+D\n- Быстрая центровка окна: Ctrl+цифровой -,"* 鼠标控制\n- 旋转：Ctrl+鼠标滚轮（上/下）\n- 摄像机缩放：鼠标滚轮（上/下）\n- 摄像机拖动：按住鼠标滚轮\n\n* 键盘控制\n- 移动精灵：\n> Ctrl+W（上）\n> Ctrl+S（下）\n> Ctrl+A（左）\n> Ctrl+D（右）\n\n- 移动偏移：\n> 方向键上\n> 方向键下\n> 方向键左\n> 方向键右\n\n- 快速保存：Ctrl+S\n- 快速取消选择：Alt+D\n- 快速居中窗口：Ctrl+小键盘 -"
TR_SHOULD_BLINK,Should Blink,Моргать,应该眨眼
TR_SHOULD_DISAPPEAR_TOOLTIP,Keys that hide the sprite when toggled,"Клавиши, скрывающие спрайт при включении","切换时隐藏精灵的按键"
TR_SHOULD_DISSAPPEAR_LIST_TOOLTIP,List of keys that hide the selected asset.\n(Keys must match another asset's key),"Список клавиш (должны совпадать с клавишами другого ресурса), при которых выбранный ресурс исчезает.","隐藏所选资源的按键列表。\n（按键必须与其他资源的按键匹配）"
TR_SHOULD_DIS_LABEL,List of hide keys.\n(Key must match an existing asset),Список клавиш скрытия.\n(Клавиша должна соответствовать существующему ресурсу),隐藏按键列表。\n（按键必须与现有资源匹配）
TR_SHOULD_TALK,Should Talk,Говорить,应该说话
TR_SHOW_UI,Show UI,Отображать интерфейс,显示界面
TR_SHOW_WEB,Show Web,Показать веб-страницу,显示网页
TR_SINE,Sine,Синус,正弦
TR_SINE_AMP,Sine Amp,Амплитуда синусоиды,正弦振幅
TR_SINE_SPEED,Sine Speed,Скорость синусоиды,正弦速度
TR_SIZE_X,Size X,Размер X,大小 X
TR_SIZE_Y,Size Y,Размер Y,大小 Y
TR_SMOOTH_ITERATIONS,Smoothing Iterations,Итерации сглаживания,平滑迭代次数
TR_SNAP_DRAG,Drag Snap,Привязка перетаскивания,拖动吸附
TR_SNAP_OUT_OF_BOUNDS,Snap Out of Bounds,Привязка вне зоны действия,越界吸附
TR_SNAP_ROT,Snap Rotation,Привязка вращения,旋转吸附
TR_SNAP_SCL,Snap Scale,Привязка масштаба,缩放吸附
TR_SOCIALS,Socials,Соцсети,社交
TR_SOFTNESS,Softness,Мягкость,柔和度
TR_SOURCE_CODE,Source Code,Исходный код,源代码
TR_SPECTRUM,Spectrum,Спектр,频谱
TR_SPRING,Spring,Пружина,弹簧
TR_SPRITES,Sprites,Спрайты,精灵
TR_SPRITE_ID_LABEL,Sprite ID,ID спрайта,精灵 ID
TR_SPRITE_VIEW,Sprite View,Просмотр спрайтов,精灵视图
TR_SQUARE_GRID,Square Grid,Квадратная сетка,方形网格
TR_SQUISH_AMOUNT,Squish Amount,Сила сжатия,挤压强度
TR_SQUISH_ON_BLINK,Squish on Blink,Сжатие при моргании,眨眼时挤压
TR_START,Start,Старт,开始
TR_STATE_REMAP,State Remap,Переназначение состояний,状态重映射
TR_STATIC_OBJECT,Static Object,Статичный объект,静态对象
TR_STIFFNESS_LABEL,Stiffness,Жёсткость,刚度
TR_STIFFNESS_X,Stiffness X,Жёсткость X,刚度 X
TR_STIFFNESS_Y,Stiffness Y,Жёсткость Y,刚度 Y
TR_STOP,Stop,Стоп,停止
TR_STREAM,Stream,Прямая трансляция,直播
TR_STREAMER_SESSION,Stream Session,Сеанс трансляции,直播会话
TR_STREAMER_WIP,Streamer (WIP),Стример (в разработке),主播模式（开发中）
TR_STREAM_SWITCH_SESSION,Switch Session,Переключить сеанс,切换会话
TR_STRENGTH,Strength,Сила,强度
TR_STRETCH,Stretch,Растяжение,拉伸
TR_SUB_DIVISION_LABEL,Sub-Division,Подразбиение,细分
TR_SWITCH_SESSION,Which session do you want to switch to?,В какой сеанс перейти?,你想切换到哪个会话？
TR_SWITCH_SESSION_FULL,Save the model before switching modes. This opens a separate session.,Перед сменой режима сначала сохрани модель. Откроется отдельный сеанс.,切换模式前请先保存模型。这将打开一个独立的会话。
TR_SYNC_APPENDAGE,Sync Appendage,Синхронизировать придаток,同步附加部位
TR_SYNC_EFFECT,Sync Effect,Синхронизировать эффект,同步效果
TR_TAB_ANIMATION,Animation,Анимация,动画
TR_TAB_AUDIO,Audio,Аудио,音频
TR_TAB_IMPORT,Import,Импорт,导入
TR_TAB_LIGHT,Light,Свет,灯光
TR_TAB_MODEL,Model,Модель,模型
TR_TAB_MOVEMENT,Movement,Движение,移动
TR_TAB_PROPERTIES,Properties,Свойства,属性
TR_TAB_REMIX,Remix,Ремикс,混音
TR_TAB_TESTS,Tests,Тесты,测试
TR_TAB_WEBSOCKET,WebSocket,Вебсокет,WebSocket
TR_TAB_WIGGLE,Wiggle,Покачивание,摆动
TR_TARGET_MESH,Target Mesh,Целевая сетка,目标网格
TR_TARGET_STRENGTH,Target Strength,Целевая сила,目标强度
TR_TEST,Test,Тест,测试
TR_TEXT,Text,Текст,文本
TR_TEXTURE_MODE_LABEL,Texture Mode,Режим текстуры,纹理模式
TR_THREADS_TOOLTIP,Use multithreading for actions like saving and loading,Использовать многопоточность для сохранения и загрузки,使用多线程进行保存和加载等操作
TR_TILE,Tile,Плитка,平铺
TR_TINT,Tint,Оттенок,色调
TR_TOGGLE_BORDERS,Toggle Borders,Переключить границы,切换边框
TR_TOOLTIP_ADD_APPENDAGE,Add Appendage,Добавить придаток,添加附加部位
TR_TOOLTIP_ADD_FOLDER,Add Folder,Добавить папку,添加文件夹
TR_TOOLTIP_ADD_IMAGE,Add Image,Добавить изображение,添加图像
TR_TOOLTIP_ADD_NORMAL_MAP,Add Normal Map,Добавить карту нормалей,添加法线贴图
TR_TOOLTIP_ADD_SPRITE,Add Sprite,Добавить спрайт,添加精灵
TR_TOOLTIP_AUTO_ROTATION,Auto-rotates the sprite. Speed can be changed with Rot-Speed,Автоматически вращает спрайт. Скорость задаётся параметром скорости вращения,自动旋转精灵。速度可通过旋转速度调整
TR_TOOLTIP_DELETE_IMAGE,Delete Image,Удалить изображение,删除图像
TR_TOOLTIP_DELETE_NORMAL_MAP,Delete Normal Map,Удалить карту нормалей,删除法线贴图
TR_TOOLTIP_DELETE_SPRITE,Delete Sprite,Удалить спрайт,删除精灵
TR_TOOLTIP_DUBLICATE,Duplicate,Дублировать,复制
TR_TOOLTIP_DUPLICATE_SPRITE,Duplicate Sprite,Дублировать спрайт,复制精灵
TR_TOOLTIP_MINI_VIEW_ZOOM_RESET,Mini View Zoom Reset,Сброс масштаба мини-вида,迷你视图缩放重置
TR_TOOLTIP_REPLACE_IMAGE,Replace Image,Заменить изображение,替换图像
TR_TOOLTIP_REPLACE_SPRITE,Replace Sprite,Заменить спрайт,替换精灵
TR_TRACKING_BACKEND,Tracking Backend,Система отслеживания,追踪后端
TR_TRACKING_BACKEND_DEFAULT,Default,По умолчанию,默认
TR_TRACKING_BACKEND_UIOHOOK,UIOHook,UIOHook,UIOHook
TR_TRACKING_BACKEND_WINDOWS,Windows,Windows,Windows
TR_TRACKING_BACKEND_X11,x11,x11,x11
TR_TRACK_DEV_MODE,Developer Mode,Режим разработчика,开发者模式
TR_TRACK_USING_GLOBAL_INPUT,Use Global Input for Tracking,Использовать глобальный ввод,使用全局输入进行追踪
TR_TRACK_USING_GLOBAL_INPUT_TOOLTIP,Enables using the Global Input module to be used for mouse following instead of Godot's Built-in mouse tracking (Debug),Позволяет использовать модуль глобального ввода для отслеживания мыши вместо встроенного отслеживания мыши Godot (отладка),允许使用全局输入模块进行鼠标跟随，替代 Godot 内置的鼠标追踪（调试）
TR_TRANSPARENT,Transparent,Прозрачный,透明
TR_TRIM_DIALOG_TEXT,Would you like to have your Sprites Trimmed?\n(Removes all unused area around your image),Хотите обрезать спрайты?\n(Удаляет все неиспользуемые области вокруг вашего изображения),是否要裁剪精灵？\n（移除图像周围所有未使用的区域）
TR_TRIM_IMPORT,Trim Import,Обрезать при импорте,导入时裁剪
TR_TRITANOPIA,Tritanopia,Тританопия,蓝色盲
TR_TRI_GRID,Tri Grid,Треугольная сетка,三角网格
TR_UDP,UDP,,UDP
TR_UDP_ITEM_CHEEK_RAISE_LEFT,Cheek Raise Left,Поднятие левой щеки,左脸颊抬起
TR_UDP_ITEM_CHEEK_RAISE_RIGHT,Cheek Raise Right,Поднятие правой щеки,右脸颊抬起
TR_UDP_ITEM_EYEBROW_LEFT,Eyebrow Left,Левая бровь,左眉毛
TR_UDP_ITEM_EYEBROW_RIGHT,Eyebrow Right,Правая бровь,右眉毛
TR_UDP_ITEM_EYE_SMILE_LEFT,Left Eye Smile,Прищур левого глаза,左眼眯笑
TR_UDP_ITEM_EYE_SMILE_RIGHT,Right Eye Smile,Прищур правого глаза,右眼眯笑
TR_UDP_ITEM_HEAD,Head,Голова,头部
TR_UDP_ITEM_NONE,None,Отсутствует,无
TR_UDP_ITEM_PUPIL_LEFT,Pupil Left,Левый зрачок,左瞳孔
TR_UDP_ITEM_PUPIL_RIGHT,Pupil Right,Правый зрачок,右瞳孔
TR_UDP_POSITION,UDP Position,Позиция UDP,UDP 位置
TR_UDP_ROTATION,UDP Rotation,Вращение UDP,UDP 旋转
TR_UDP_SCALE,UDP Scale,Масштаб UDP,UDP 缩放
TR_UI_SCALE_LABEL,UI Scale,Масштаб интерфейса,界面缩放
TR_UNLINK_BUTTON_TOOLTIP,Unlinks a child Object from Parent Object,Открепляет дочерний объект от родительского,解除子对象与父对象的链接
TR_UPDATE_MIC_LIST,Update Mic List,Обновить список микрофонов,更新麦克风列表
TR_USE_DELTA_TIME,Use DeltaTime,Использовать DeltaTime,使用 DeltaTime
TR_USE_DELTA_TIME_TOOLTIP,"The movement Ticks uses (Tick + 1 every frame),\nwhich could lead to very strong movements even with low\nmovement values.\nUsing DeltaTime makes it slower ( Tick + 0.016 every frame)\nand more forgiving to use higher values.\nThis needs to be set for every model to prevent sharing issues.","Счётчик движения увеличивается на 1 каждый кадр,\nчто может давать слишком сильное движение даже при малых значениях.\nDeltaTime делает шаг ≈0.016 за кадр и позволяет использовать большие значения.\nЭто нужно указывать для каждой модели, чтобы не было проблем при обмене.","移动时钟每帧递增 1，\n即使移动值较低也可能导致动作过强。\n使用 DeltaTime 会使其变慢（每帧约递增 0.016），\n可以更宽容地使用较高的数值。\n需要为每个模型单独设置以避免共享问题。"
TR_USE_OBJECT_POSITION,Use Object Position,Использовать положение объекта,使用对象位置
TR_USE_THREADS,Use Threads,Использовать потоки,使用线程
TR_VISIBILITY,Visibility,Видимость,可见性
TR_VISIBLE,Visible,Видимый,可见
TR_VOLUME,Volume,Громкость,音量
TR_VOLUME_SENSITIVITY,Volume Sensitivity,Чувствительность громкости,音量灵敏度
TR_WAG_FREQ_LABEL,Wag Freq,Частота покачивания,摆动频率
TR_WAG_SPEED_SLIDER,Wag Speed,Скорость покачивания,摆动速度
TR_WARNING_IF_KNOW,DON'T USE UNLESS YOU KNOW WHAT YOU ARE DOING,"ИСПОЛЬЗУЙТЕ ТОЛЬКО ЕСЛИ ВЫ ЗНАЕТЕ, ЧТО ДЕЛАЕТЕ","除非你知道自己在做什么，否则不要使用"
TR_WASD,WASD,WASD,WASD
TR_WASD_AD,WASD (A/D),WASD (A/D),WASD (A/D)
TR_WASD_WS,WASD (W/S),WASD (W/S),WASD (W/S)
TR_WEBSOCKET_DOC,WebSocket Docs,Документация WebSocket,WebSocket 文档
TR_WELCOME,Welcome!,Добро пожаловать!,欢迎！
TR_WHAT_IS_PNG_TUBING_FULL,"PNGTubing is a form of Vtubing. However, unlike Vtubing, it is much simpler and less costly. This is why it gained popularity in recent years. There are some different types of PNGTubing, this includes Static (like the model shown), Toon and Rigged. In this software -PNGTube-Remix, you can create both Static and Rigged! Even mix them up if needed. Hope you have fun!","PNGTubing — разновидность Vtubing, но гораздо проще и дешевле, поэтому он стал так популярен в последние годы. Есть разные виды PNGTubing: статичный (как показано), мультяшный и «риггед». В PNGTube-Remix можно делать и статичные, и риггед‑модели, а при желании смешивать подходы. Удачи и приятного творчества!","PNGTubing 是 Vtubing 的一种形式。但与 Vtubing 不同的是，它更简单、成本更低，这也是它近年来广受欢迎的原因。PNGTubing 有几种不同类型，包括静态（如展示的模型）、卡通和骨骼绑定。在 PNGTube-Remix 中，你可以同时创建静态和骨骼绑定模型！甚至可以根据需要混合使用。祝你玩得开心！"
TR_WHITE,White,Светлый,白色
TR_WIDTH,Width,Ширина,宽度
TR_WIGGLE_APPENDAGE,Wiggle Appendage,Покачивание придатка,摆动附加部位
TR_WIGGLE_PHYSICS,Wiggle Physics,Физика покачивания,摆动物理
TR_WIGGLE_SPRITE,Wiggle Sprite,Покачивание спрайта,摆动精灵
TR_WIGGLE_STRETCH_TO_ANCHOR,Keeps its length when linked to an anchor,Сохраняет свою длину при привязке к якорю,链接到锚点时保持长度
TR_WINDOW,Window,Окно,窗口
TR_WINDOW_DEFAULT,Reset Window To Default,Сбросить настройки окна,重置窗口为默认值
TR_WINDOW_SIZE,Window Size,Размер окна,窗口大小
TR_WOBBLE_FREQ_TOOLTIP,Affects wobble and squish,Влияет на покачивание и сжатие,影响摇晃和挤压
TR_WS_SYNC_EFFECT_TOOLTIP,Syncs the wiggle effect of the Sprite with the Parent's Wiggle effect (Both must be Sprite Objects),Синхронизирует эффект покачивания спрайта с родительским (оба должны быть спрайтами),将精灵的摆动效果与父级的摆动效果同步（两者都必须是精灵对象）
TR_WS_WIGGLE_AMP,Wiggle-Amp,Амплитуда покачивания,摆动振幅
TR_WS_WIGGLE_FREQUENCY,Wiggle-Freq,Частота покачивания,摆动频率
TR_XY_MOVEMENTS,X-Y Movements,Движения по X-Y,X-Y 移动
TR_XY_MOVEMENTS_X_AMP,X-Amp,Амплитуда X,X 振幅
TR_XY_MOVEMENTS_X_FREQUENCY,X-Freq,Частота X,X 频率
TR_XY_MOVEMENTS_Y_AMP,Y-Amp,Амплитуда Y,Y 振幅
TR_XY_MOVEMENTS_Y_FREQUENCY,Y-Freq,Частота Y,Y 频率
TR_X_AMPLITUDE_WOBBLE,X-Amplitude Wobble {value},Амплитуда колебаний по X {value},X 摇晃振幅 {value}
TR_X_FREQUENCY_WOBBLE,X-Frequency Wobble {value},Частота колебаний по X {value},X 摇晃频率 {value}
TR_X_FREQUENCY_WOBBLE_TOOLTIP,Affects the Wobbling,Влияет на покачивание,影响摇晃效果
TR_X_OFFSET,X-Offset,Смещение X,X 偏移
TR_YES,Yes,Да,是
TR_Y_AMPLITUDE_WOBBLE,Y-Amplitude Wobble {value},Амплитуда колебаний по Y {value},Y 摇晃振幅 {value}
TR_Y_FREQUENCY_WOBBLE,Y-Frequency Wobble {value},Частота колебаний по Y {value},Y 摇晃频率 {value}
